City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,coahuayana de hidalgo,18.7,-103.6583,27.53,54,0,1.43,MX,1710173491
83,fort st. john,56.2499,-120.8529,-3.39,91,100,2.14,CA,1710173491
84,bredasdorp,-34.5322,20.0403,22.97,73,0,5.6,ZA,1710173491
85,aykhal,66.0,111.5,-14.29,97,100,0.9,RU,1710173492
86,badger,64.8,-147.5333,-18.07,55,100,3.09,US,1710173492
87,arquitecto tomas romero pereira,-26.4833,-55.25,34.98,34,64,2.4,PY,1710173272
88,ola,59.5833,151.2833,-12.14,90,100,2.96,RU,1710173492
89,aasiaat,68.7098,-52.8699,-16.77,91,93,0.86,GL,1710173492
90,lake havasu city,34.4839,-114.3224,21.79,27,12,2.24,US,1710173492
91,pangody,65.85,74.4859,-24.17,100,99,1.61,RU,1710173492
92,iqaluit,63.7506,-68.5145,-21.18,66,4,0.66,CA,1710173492
93,uturoa,-16.7333,-151.4333,28.05,78,79,3.4,PF,1710173492
94,yuzhno-kurilsk,44.0306,145.8556,-0.35,65,89,2.12,RU,1710173493
95,college,64.8569,-147.8028,-18.03,55,100,3.09,US,1710173493
96,bochum,51.4833,7.2167,9.36,95,100,1.34,DE,1710173025
97,hithadhoo,-0.6,73.0833,28.51,70,23,3.85,MV,1710173493
98,drummondville,45.8834,-72.4824,-0.55,78,100,2.24,CA,1710173493
99,sisimiut,66.9395,-53.6735,-11.07,83,35,4.35,GL,1710173493
100,atafu village,-8.5421,-172.5159,29.4,77,76,6.36,TK,1710173493
101,rupert,42.6191,-113.6772,3.99,70,100,3.6,US,1710173321
102,punta arenas,-53.15,-70.9167,11.06,50,20,6.69,CL,1710173054
103,alofi,-19.0595,-169.9187,25.79,82,100,1.58,NU,1710173494
104,maceio,-9.6658,-35.7353,34.69,59,40,6.17,BR,1710173494
105,sultanah,24.4926,39.5857,31.25,8,0,5.14,SA,1710173494
106,lahad datu,5.0268,118.327,23.41,94,88,2.42,MY,1710173494
107,meadow lake,34.8014,-106.5436,12.05,40,51,3.57,US,1710173494
108,avarua,-21.2078,-159.775,24.46,89,100,4.29,CK,1710173494
109,codrington,-38.2667,141.9667,18.02,80,23,1.67,AU,1710173495
110,bilibino,68.0546,166.4372,-31.49,100,90,1.76,RU,1710173495
111,xining,36.6167,101.7667,2.39,38,41,0.42,CN,1710173495
112,padang,-0.9492,100.3543,26.03,87,91,1.24,ID,1710173495
113,mosjoen,65.836,13.1908,2.06,54,0,3.6,NO,1710173495
114,vila do maio,15.1333,-23.2167,22.68,68,60,6.06,CV,1710173495
115,hami,42.8,93.45,9.59,26,100,0.76,CN,1710173495
116,ilulissat,69.2167,-51.1,-18.39,94,100,1.32,GL,1710173496
117,al fuwayliq,26.4432,43.2534,20.91,17,0,8.53,SA,1710173496
118,west island,-12.1568,96.8225,25.99,94,75,4.12,CC,1710173496
119,al ghayzah,16.2079,52.176,26.66,79,6,4.49,YE,1710173496
120,kill devil hills,36.0307,-75.676,9.99,44,0,8.23,US,1710173425
121,puerto ayora,-0.7393,-90.3518,26.97,94,78,1.79,EC,1710173496
122,stanley,54.868,-1.6985,5.44,96,75,1.03,GB,1710173496
123,new kingman-butler,35.265,-114.0323,15.1,35,0,3.58,US,1710173496
124,hasaki,35.7333,140.8333,7.22,60,100,8.43,JP,1710173497
125,lihue,21.9789,-159.3672,21.58,88,75,9.26,US,1710173353
126,benguela,-12.5763,13.4055,30.07,67,87,2.73,AO,1710173374
127,guerrero negro,27.9769,-114.0611,16.49,64,68,5.67,MX,1710173497
128,whitehorse,60.7161,-135.0538,-11.61,95,85,2.73,CA,1710173249
129,freetown,8.484,-13.2299,29.05,57,100,4.97,SL,1710173441
130,vilyuchinsk,52.9306,158.4028,-2.82,92,100,3.44,RU,1710173497
131,cabo san lucas,22.8909,-109.9124,23.2,63,75,1.54,MX,1710173497
132,yanchep,-31.55,115.6833,22.19,59,13,5.25,AU,1710173497
133,verkh-chebula,56.0308,87.6218,-4.46,82,88,7.82,RU,1710173497
134,flying fish cove,-10.4217,105.6791,26.82,83,75,8.23,CX,1710173498
135,hamilton,39.1834,-84.5333,9.85,42,0,4.63,US,1710173498
136,qaqortoq,60.7167,-46.0333,-1.71,85,5,1.44,GL,1710173498
137,rawson,-43.3002,-65.1023,22.75,34,83,3.1,AR,1710173498
138,lamu,-2.2717,40.902,28.65,69,25,7.35,KE,1710173284
139,banda aceh,5.5577,95.3222,26.87,80,9,3.56,ID,1710173498
140,novhorod-sivers'kyy,52.0058,33.2615,-1.68,52,1,2.69,UA,1710173498
141,remire-montjoly,4.9167,-52.2667,32.02,66,75,5.14,GF,1710173498
142,moncao,42.0789,-8.4808,15.08,69,100,1.47,PT,1710173498
143,petrovsk,52.3064,45.3917,-8.16,94,100,4.19,RU,1710173499
144,vallenar,-28.5708,-70.7581,27.97,36,0,2.38,CL,1710173215
145,huarmey,-10.0681,-78.1522,25.73,73,48,4.74,PE,1710173499
146,hawaiian paradise park,19.5933,-154.9731,19.46,90,75,2.06,US,1710173499
147,fortuna,40.5982,-124.1573,9.25,92,75,5.14,US,1710173499
148,margherita,27.2833,95.6833,21.29,43,40,1.71,IN,1710173499
149,tommot,58.9564,126.2925,-23.51,98,94,1.32,RU,1710173499
150,tralee,52.2704,-9.7026,10.14,71,75,4.63,IE,1710173239
151,happy valley-goose bay,53.3168,-60.3315,-0.14,83,100,5.43,CA,1710173500
152,bengkulu,-3.8004,102.2655,25.36,89,80,3.14,ID,1710173370
153,gardnerville ranchos,38.8882,-119.7413,7.1,59,22,4.92,US,1710173500
154,kolonia,50.9333,6.95,10.41,88,75,2.06,DE,1710173212
155,thunder bay,48.4001,-89.3168,5.95,44,37,2.12,CA,1710173500
156,lac-brome,45.2168,-72.5158,-1.16,82,100,1.79,CA,1710173500
157,bang saphan,11.2126,99.5117,25.6,88,99,1.38,TH,1710173500
158,deder,9.3167,41.45,20.74,46,91,1.62,ET,1710173500
159,ust-tsilma,65.441,52.1498,-14.1,96,96,2.24,RU,1710173500
160,kapuskasing,49.4169,-82.4331,-1.4,83,99,1.74,CA,1710173387
161,shortandy,51.7006,70.9994,-16.88,100,78,2.53,KZ,1710173501
162,invercargill,-46.4,168.35,10.01,86,90,1.79,NZ,1710173501
163,agat village,13.3886,144.6585,25.53,90,100,6.69,GU,1710173501
164,hohhot,40.8106,111.6522,-2.07,56,1,3.0,CN,1710173501
165,urangan,-25.3,152.9,24.0,86,17,1.79,AU,1710173501
166,weno,7.4515,151.8468,27.18,70,99,10.99,FM,1710173501
167,la union,-5.4,-80.75,30.49,46,97,4.27,PE,1710173501
168,new haven,41.4001,-72.9329,6.69,56,20,10.8,US,1710173284
169,danli,14.0333,-86.5833,28.67,41,37,4.33,HN,1710173501
170,kailua-kona,19.6406,-155.9956,22.98,79,0,2.06,US,1710173501
171,sao felix do xingu,-6.6447,-51.995,32.52,56,18,1.53,BR,1710173502
172,las lomas,8.4333,-82.4,35.67,37,20,9.39,PA,1710173502
173,kilimatinde,-5.85,34.95,21.85,82,49,1.63,TZ,1710173502
174,mejit,10.2753,170.8646,26.78,83,97,10.66,MH,1710173502
175,udachny,66.4167,112.4,-13.64,84,100,0.76,RU,1710173502
176,rocha,-34.4833,-54.3333,29.12,30,97,4.15,UY,1710173502
177,tura,25.5198,90.2201,19.99,35,0,1.09,IN,1710173503
178,la passe,45.5549,-0.8967,13.13,76,18,5.44,FR,1710173503
179,al kharijah,25.4514,30.5464,24.85,10,1,4.48,EG,1710173503
180,sanming,26.2486,117.6186,11.88,95,1,0.78,CN,1710173503
181,beroroha,-21.6667,45.1667,26.84,63,100,0.92,MG,1710173503
182,kampong thom,12.7111,104.8887,29.81,48,98,1.86,KH,1710173503
183,crane,31.3974,-102.3501,14.03,47,0,4.8,US,1710173503
184,bonnyville,54.2668,-110.735,-5.38,95,77,0.52,CA,1710173503
185,conduaga,8.862,117.4893,24.12,81,94,1.75,PH,1710173503
186,kruisfontein,-34.0033,24.7314,24.94,79,0,8.35,ZA,1710173504
187,talnakh,69.4865,88.3972,-27.67,99,100,2.16,RU,1710173289
188,hermanus,-34.4187,19.2345,29.89,63,0,3.9,ZA,1710173504
189,charters towers,-20.1,146.2667,21.31,79,8,3.97,AU,1710173504
190,wabag,-5.4781,143.7021,15.15,99,100,0.34,PG,1710173504
191,mossel bay,-34.1831,22.146,21.74,90,8,6.56,ZA,1710173504
192,himeji,34.8167,134.7,10.71,81,100,0.93,JP,1710173504
193,luderitz,-26.6481,15.1594,21.48,72,8,5.72,NA,1710173284
194,anna regina,7.2644,-58.5077,29.11,61,80,4.23,GY,1710173504
195,anadyr,64.75,177.4833,-27.72,75,0,3.0,RU,1710173505
196,eureka,40.8021,-124.1637,9.4,85,100,2.24,US,1710173505
197,banbridge,54.35,-6.2833,7.85,88,100,1.68,GB,1710173351
198,mount pearl,47.5166,-52.7813,0.53,96,100,4.02,CA,1710173505
199,carolina beach,34.0352,-77.8936,13.95,31,0,1.79,US,1710173505
200,kingston,17.997,-76.7936,27.89,39,0,0.97,JM,1710173345
201,mujiayingzi,42.1167,118.7833,-2.91,41,0,2.12,CN,1710173505
202,saudarkrokur,65.7461,-19.6394,-1.31,83,4,1.27,IS,1710173505
203,iskateley,67.6803,53.1512,-20.55,98,16,2.68,RU,1710173505
204,karratha,-20.7377,116.8463,28.42,69,3,5.23,AU,1710173505
205,chita,52.0333,113.55,-4.06,43,97,5.0,RU,1710173376
206,loch garman,52.3342,-6.4575,10.68,100,100,4.92,IE,1710173214
207,hobyo,5.3505,48.5268,28.48,77,73,5.66,SO,1710173506
208,trondheim,63.4305,10.3951,5.03,70,42,0.45,NO,1710173506
209,polyarnyy,69.1989,33.4478,-1.93,92,100,3.92,RU,1710173506
210,miles city,46.4083,-105.8406,4.54,60,0,3.09,US,1710173506
211,mount isa,-20.7333,139.5,25.87,65,23,2.06,AU,1710173506
212,susuman,62.7833,148.1667,-30.01,100,91,1.34,RU,1710173506
213,nueva helvecia,-34.3,-57.2333,27.12,56,99,3.67,UY,1710173506
214,brookings,44.3114,-96.7984,15.06,51,0,4.12,US,1710173507
215,constantia,44.1833,28.65,8.38,85,100,9.4,RO,1710173507
216,ponta delgada,37.7333,-25.6667,18.44,94,75,9.77,PT,1710173507
217,mana,5.6592,-53.7767,30.58,57,24,3.4,GF,1710173507
218,namibe,-15.1961,12.1522,26.69,75,64,5.95,AO,1710173507
219,sola,-13.8833,167.55,27.92,81,99,8.44,VU,1710173360
220,mariinsk,56.2139,87.7472,-4.35,80,78,7.19,RU,1710173507
221,farah,32.5,62.5,17.07,41,1,1.84,AF,1710173507
222,wuyang,31.9925,116.2472,13.2,52,0,3.68,CN,1710173507
223,kodiak,57.79,-152.4072,-4.27,74,100,2.57,US,1710173508
224,okhotsk,59.3833,143.3,-20.2,91,66,4.24,RU,1710173253
225,berdigestyakh,62.0989,126.6992,-25.59,100,94,1.69,RU,1710173508
226,fort mcmurray,56.7268,-111.381,-7.81,89,99,1.18,CA,1710173508
227,nema,57.5067,50.5011,-8.07,95,100,3.75,RU,1710173508
228,tongliao,43.6125,122.2653,-2.19,49,2,3.79,CN,1710173508
229,bintulu,3.1667,113.0333,25.75,88,50,3.3,MY,1710173508
230,hirara,24.8,125.2833,19.39,88,90,13.22,JP,1710173508
231,la ligua,-32.4524,-71.2311,23.62,53,10,3.37,CL,1710173508
232,chonchi,-42.6128,-73.8092,16.18,95,100,2.95,CL,1710173509
233,blackmans bay,-43.0167,147.3167,21.4,70,91,0.89,AU,1710173509
234,butembo,0.15,29.2833,17.28,93,98,1.47,CD,1710173509
235,nchelenge,-9.3451,28.734,24.85,78,93,2.5,ZM,1710173509
236,nabire,-3.3667,135.4833,24.29,94,100,1.43,ID,1710173509
237,chukhloma,58.7525,42.6825,-1.06,94,100,4.92,RU,1710173509
238,naracoorte,-36.9579,140.7383,22.19,48,22,2.64,AU,1710173509
239,kuragino,53.8975,92.6725,-2.36,99,100,1.88,RU,1710173370
240,west mackay,-21.1481,149.1605,24.59,82,61,7.66,AU,1710173510
241,newman,37.3138,-121.0208,11.69,83,85,0.57,US,1710173278
242,enewetak,11.3474,162.3373,26.6,73,97,9.39,MH,1710173510
243,aleppo,36.25,37.5,13.15,51,22,4.04,SY,1710173510
244,yuncheng,35.0231,110.9928,9.17,25,0,1.34,CN,1710173510
245,shimoda,34.6667,138.95,8.95,72,100,5.22,JP,1710173510
246,al jawf,29.5,38.75,17.08,22,0,2.91,SA,1710173510
247,wanning,18.8003,110.3967,20.51,94,85,3.47,CN,1710173510
248,tymovskoye,50.8456,142.655,-11.02,98,100,0.66,RU,1710173510
249,bechar,31.6167,-2.2167,20.64,23,92,2.78,DZ,1710173511
250,inirida,3.8653,-67.9239,35.95,44,87,1.13,CO,1710173511
251,tarare,45.8976,4.4327,9.01,75,92,1.52,FR,1710173511
252,yoichi,43.2039,140.7703,2.99,85,99,2.75,JP,1710173511
253,puerto aysen,-45.4,-72.7,11.83,98,100,0.77,CL,1710173239
254,opuwo,-18.0607,13.84,31.38,34,54,5.66,NA,1710173511
255,port hedland,-20.3167,118.5667,29.03,79,54,4.12,AU,1710173325
256,tofol,5.3248,163.0078,27.95,81,100,10.91,FM,1710173511
257,arkhangel'sk,64.5401,40.5433,0.07,80,75,3.0,RU,1710173512
258,arno,60.1167,18.6333,0.99,81,24,3.72,SE,1710173512
259,show low,34.2542,-110.0298,10.6,32,0,4.63,US,1710173512
260,port lincoln,-34.7333,135.8667,21.26,73,96,2.57,AU,1710173512
261,sault ste. marie,46.5168,-84.3333,2.31,75,0,0.0,CA,1710173512
262,jianguang,28.1938,115.7836,13.55,84,0,1.88,CN,1710173512
263,gisborne,-38.6533,178.0042,16.8,80,95,2.18,NZ,1710173512
264,afua,-0.1567,-50.3867,27.55,87,88,2.63,BR,1710173512
265,papao,-17.75,-149.55,25.82,83,82,4.39,PF,1710173513
266,colonia,50.9333,6.95,10.41,88,75,2.06,DE,1710173216
267,carbonear,47.7332,-53.2148,1.24,92,100,9.92,CA,1710173335
268,tolanaro,-25.0319,46.9987,25.49,90,54,5.01,MG,1710173325
269,brisas de zicatela,15.8369,-97.0419,29.32,58,0,2.23,MX,1710173513
270,chipata,-13.6333,32.65,22.34,80,62,1.41,ZM,1710173513
271,amarastii de jos,43.95,24.1667,11.66,58,100,8.3,RO,1710173513
272,east london,-33.0153,27.9116,26.36,85,3,7.86,ZA,1710173419
